Descripción del servicio,ID de servicio,Costo (S/.),Programas de ahorros (S/.),Otros ahorros (S/.),Subtotal sin redondear (S/.),Subtotal (S/.),Cambio porcentual en el subtotal en comparación con el período anterior
Cloud Run Functions,29E7-DA93-CA13,0.00,0.00,-0.00,0.000000,0.00,0%
,,,,Subtotal,0.000000,0.00
,,,,Impuesto,0.000000,0.00
,,,,Total,0.000000,0.00
